Component_Name,Part_Number,Description,Quantity,Material,Supplier,Unit_Cost,Lead_Time_weeks,Criticality,Source_of_Supply,Revision_Level,Manufacturing_Process,Quality_Standards,Testing_Requirements,Assembly_Instructions,Subassembly_Level,Weight_kg,Packaging_Information,Environmental_Compliance,Safety_Considerations
Lid Assembly,LID-001,Lid for chamber,1,Aluminum Alloy,Vendor B,5000,13,High,External,A.1,CNC Machining,SEMI S456,Visual Inspection,Provided by vendor,2,40,Custom packaging,"RoHS, REACH",Safety interlocks during lid opening
Gas Delivery System,WHS-001,Gas distribution manifold,1,Stainless Steel,Vendor C,5995,16,Medium,External,A.2,"CNC Machining, Welding",SEMI S789,Visual Inspection,Provided by vendor,2,46,Custom crate,"RoHS, REACH",
Gas Delivery System,GDS-001,Gas distribution manifold,1,Stainless Steel,Vendor C,9712,13,High,External,A.1,Integration of Components,SEMI S123,Helium Leak Test,Provided by vendor,2,185,Custom crate,"RoHS, REACH",Safety interlocks during maintenance
Gas Delivery System,GDS-001,Gas distribution manifold,1,Stainless Steel,Vendor C,5000,12,High,External,A.2,Precision Machining,SEMI S789,Leak Test,Provided by vendor,2,33,Custom crate,"RoHS, REACH",Safety interlocks during lid opening
Plasma Source Assembly,LID-001,Lid for chamber,1,Aluminum Alloy,Vendor B,5000,15,High,External,A.3,CNC Machining,SEMI S123,Electrical Tests,Provided by vendor,2,52,Custom packaging,"RoHS, REACH",Safety interlocks during operation
Plasma Source Assembly,PSA-001,RF Generator and Electrostatic Chuck Assembly,1,Various,Vendor D,20000,16,High,External,A.3,Integration of Components,SEMI S234,Visual Inspection,Provided by vendor,2,120,Custom packaging,"RoHS, REACH",Safety interlocks during operation
Gas Delivery System,PSA-001,Gas distribution manifold,1,Stainless Steel,Vendor D,9186,8,High,External,A.2,Integration of Components,SEMI S234,Electrical Tests,Provided by vendor,2,34,Custom crate,"RoHS, REACH",
Plasma Source Assembly,GDS-001,Gas distribution manifold,1,Various,Vendor E,18128,15,Medium,External,A.2,Precision Machining,SEMI S789,Visual Inspection,Provided by vendor,2,105,Custom crate,"RoHS, REACH",
Chamber Assembly,CHM-001,Main chamber body,1,Various,Vendor D,6547,11,Medium,External,A.1,Integration of Components,SEMI S123,Leak Test,Provided by vendor,1,60,Custom crate,"RoHS, REACH",Safety interlocks during lid opening
Wafer Handling System,WHS-001,Robot arm and wafer chuck,1,Various,Vendor E,11335,16,High,External,A.1,Robotic Assembly,SEMI S567,Functional Tests,Provided by vendor,2,44,Custom crate,"RoHS, REACH",Safety interlocks during handling
Wafer Handling System,WHS-001,Robot arm and wafer chuck,1,Various,Vendor E,14644,15,High,External,A.1,Robotic Assembly,SEMI S567,Functional Tests,Provided by vendor,2,125,Custom crate,"RoHS, REACH",Safety interlocks during handling
Gas Delivery System,GDS-001,Main chamber body,1,"Aluminum Alloy, Ceramic",Vendor D,6287,12,High,External,A.2,"CNC Machining, Welding",SEMI S567,Leak Test,Provided by vendor,2,54,Custom packaging,"RoHS, REACH",Safety interlocks during maintenance
Lid Assembly,PSA-001,Lid for chamber,1,Various,Vendor B,5000,8,High,External,A.1,Integration of Components,SEMI S456,Visual Inspection,Provided by vendor,1,120,Custom packaging,"RoHS, REACH",Safety interlocks during lid opening
Wafer Handling System,WHS-001,Robot arm and wafer chuck,1,Stainless Steel,Vendor E,14977,16,High,External,A.1,Robotic Assembly,SEMI S567,Functional Tests,Provided by vendor,2,48,Custom crate,"RoHS, REACH",Safety interlocks during handling
